subsector,geography,other_index_1,demand_technology,replaced_demand_tech,input_type,interpolation_method,extrapolation_method,extrapolation_growth,name
commercial water heating,us,,Commercial High Efficiency Heat Pump Storage Water Heater,Commercial Reference Gas Storage Water Heater,intensity,logistic,nearest,,Commercial Reference Gas Storage Water Heater to Commercial High Efficiency Heat Pump Storage Water Heater : 0.9 by 2035
commercial water heating,us,,Commercial High Efficiency Gas Storage Water Heater,Commercial Reference Gas Storage Water Heater,intensity,logistic,nearest,,Commercial Reference Gas Storage Water Heater to Commercial High Efficiency Gas Storage Water Heater : 0.1 by 2035
commercial water heating,us,,Commercial High Efficiency Heat Pump Storage Water Heater,Commercial Reference Oil Water Heater,intensity,logistic,nearest,,Commercial Reference Oil Water Heater to Commercial High Efficiency Heat Pump Storage Water Heater : 0.9 by 2035
commercial water heating,us,,Commercial High Efficiency Oil Water Heater,Commercial Reference Oil Water Heater,intensity,logistic,nearest,,Commercial Reference Oil Water Heater to Commercial High Efficiency Oil Water Heater : 0.1 by 2035
commercial water heating,us,,Commercial High Efficiency Heat Pump Storage Water Heater,Commercial Electric Resistance Storage Water Heater,intensity,logistic,nearest,,Commercial Electric Resistance Storage Water Heater to Commercial High Efficiency Heat Pump Storage Water Heater : 0.9 by 2035
commercial space heating,us,,High Efficiency Commercial Air Source Heat Pump - Heating,Reference Commercial Gas Furnace,intensity,logistic,nearest,,Reference Commercial Gas Furnace to High Efficiency Commercial Air Source Heat Pump - Heating : 0.75 by 2035
commercial space heating,us,,High Efficiency Commercial Gas Furnace,Reference Commercial Gas Furnace,intensity,logistic,nearest,,Reference Commercial Gas Furnace to High Efficiency Commercial Gas Furnace : 0.25 by 2035
commercial space heating,us,,Commercial Electric Boiler,Reference Commercial Gas Boiler,intensity,logistic,nearest,,Reference Commercial Gas Boiler to Electric Boiler : 0.75 by 2035
commercial space heating,us,,High Efficiency Commercial Gas Boiler,Reference Commercial Gas Boiler,intensity,logistic,nearest,,Reference Commercial Gas Boiler to High Efficiency Commercial Gas Boiler : 0.25 by 2035
commercial space heating,us,,High Efficiency Commercial Air Source Heat Pump - Heating,Reference Commercial Distillate Furnace,intensity,logistic,nearest,,Reference Commercial Distillate Furnace to High Efficiency Commercial Air Source Heat Pump - Heating : 0.75 by 2035
commercial space heating,us,,Commercial Electric Boiler,Reference Commercial Distillate Boiler,intensity,logistic,nearest,,Reference Commercial Distillate Boiler to Electric Boiler : 0.75 by 2035
commercial space heating,us,,High Efficiency Commercial Distillate Boiler,Reference Commercial Distillate Boiler,intensity,logistic,nearest,,Reference Commercial Distillate Boiler to High Efficiency Commercial Distillate Boiler : 0.25 by 2035
commercial space heating,us,,High Efficiency Commercial Air Source Heat Pump - Heating,Reference Commercial Air Source Heat Pump - Heating,intensity,logistic,nearest,,Reference Commercial Air Source Heat Pump - Heating to High Efficiency Commercial Air Source Heat Pump - Heating : 1 by 2035
commercial space heating,us,,High Efficiency Commercial Air Source Heat Pump - Heating,Reference Commercial Gas Heat Pump - Heating,intensity,logistic,nearest,,Reference Commercial Gas Heat Pump - Heating to High Efficiency Commercial Air Source Heat Pump - Heating : 1 by 2035
commercial space heating,us,,High Efficiency Commercial Ground Source Heat Pump - Heating,Reference Commercial Ground Source Heat Pump - Heating,intensity,logistic,nearest,,Reference Commercial Ground Source Heat Pump - Heating to High Efficiency Commercial Ground Source Heat Pump - Heating : 1 by 2035
commercial refrigeration,us,,High Efficiency Supermarket Display Cases,Reference Supermarket Display Cases,intensity,logistic,nearest,,Reference Supermarket Display Cases to High Efficiency Supermarket Display Cases : 1 by 2035
