name,source,additional_notes,supply_node,geography,supply_cost_type_id,currency,currency_year_id,energy_or_capacity_unit,time_unit,is_capital_cost,cost_of_capital,book_life,throughput_correlation,interpolation_method,extrapolation_method,extrapolation_growth
delivery - capital,AEO 2017,,Gas Transmission Pipeline,census division,2,USD,2016,mmBtu,,True,0.1,40,1.0,linear_interpolation,linear_regression,
delivery - capital,AEO 2017,,Gas Distribution Pipeline,census division,2,USD,2016,mmBtu,,True,0.1,40,1.0,linear_interpolation,linear_regression,
Electricity Distribution Costs,AEO 2017,,Electricity Distribution Grid,egrid,2,USD,2016,megawatt_hour,,True,0.1,40,1.0,linear_interpolation,linear_regression,
Electricity Transmission Costs,AEO 2017,,Electricity Transmission Grid,egrid,2,USD,2016,megawatt_hour,,True,0.1,40,1.0,linear_interpolation,linear_regression,
liquid hydrogen truck delivery - capital,DOE H2A Analysis Delivery Components Model ,,Liquid Hydrogen Truck Delivery,us,2,USD,2005,h2_kilogram,,True,0.1,20,1.0,linear_interpolation,linear_regression,
distribution - capital,AEO 2017,assumed 50% of delivery charges unrelated to energy; used transportation sector delivery costs for all sectors,Motor Gasoline End-Use Delivery,census division,2,USD,2016,mmBtu,,True,0.1,20,1.0,linear_interpolation,linear_regression,
distribution - capital,AEO 2017,assumed 50% of delivery charges unrelated to energy; used transportation sector delivery costs for all sectors,Diesel End-Use Delivery,census division,2,USD,2016,mmBtu,,True,0.1,20,1.0,linear_interpolation,linear_regression,
distribution - capital ,AEO 2017,assumed 50% of delivery charges unrelated to energy; delivery charges represent increment from electric power sector delivery,Coal - End-Use Delivery,census division,2,USD,2016,mmBtu,,True,0.1,20,1.0,linear_interpolation,linear_regression,
distribution - capital,AEO 2017,assumed 50% of delivery charges unrelated to energy; used residential sector delivery costs for all sectors,Residual Fuel-Oil End-Use Delivery,census division,2,USD,2016,mmBtu,,True,0.1,20,1.0,linear_interpolation,linear_regression,
"anaerobic digestion - production, upgrading, storage, and transport","Marsh, M., Officer, C. E., Krich, K., Krich, K., Augenstein, D., Benemann, J., � Salour, D. (2005). Biomethane from Dairy Waste A Sourcebook for the Production and Use of, (July).",,Anaerobic Digesters - Manure,us,2,USD,2005,mmBtu,,True,0.1,20,1.0,linear_interpolation,linear_regression,
delivery,AEO 2017,,Coal  - Rail Delivery,census division,2,USD,2016,mmBtu,,False,0.1,1,1.0,linear_interpolation,linear_regression,
